Iterations: 1000
Passes: 988
fails: 12
errors: 0

<Result> 	 <ResultType> 	 <Time of injection> 	 <Injected core> 	 <Injected register> 
862	false	0	171241	3	r9
863	false	0	1875447	6	rdi
864	false	0	622466	3	r15
865	false	0	60067	4	rsp
866	false	0	60067	4	rax
867	false	0	506812	6	rax
868	false	0	506812	6	r14
869	false	0	1452847	0	rcx
870	false	0	649390	8	r15
871	false	0	1468041	4	rbx
872	false	0	905853	1	r14
873	false	0	248738	8	r10
874	false	0	1586488	8	rbx
875	false	0	575860	1	rsp
876	false	0	1779057	6	r10
877	false	0	1094371	8	r8
878	false	0	1877345	4	r15
879	false	0	1899225	5	r10
880	false	0	1883756	0	rbx
881	false	0	379382	9	rbx
882	false	0	635328	0	r12
883	false	0	364208	4	rax
884	false	0	364208	4	rsp
885	false	0	1910366	4	rbx
886	false	0	1582540	3	r12
887	false	0	295376	8	r12
888	false	0	465302	7	r9
889	false	0	302679	7	r9
890	false	0	1835633	3	r10
891	false	0	1506186	2	rbx
892	false	0	731747	9	rsi
893	false	0	56977	1	r11
894	false	0	1485078	8	r11
895	false	0	1675545	5	r13
896	false	0	1914374	5	r14
897	false	0	369284	8	r9
898	false	0	264237	2	r10
899	false	0	264237	2	r11
900	false	0	1270451	4	rax
901	false	0	1709176	6	r10
